Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
"Brewer, Adrian Studio",,"The Adrian Brewer Studio, located as an accessory building at 510 Cedar Street. Listed in the National Register of Historic Places in 2/10/200, it was designed by architects Maximilian F. Mayer and George Trapp and constructed in 1945.  In 1940, he was a gold medal winner at the Golden Gate International Exposition and he even created the Adrian Brewer School of Art.  Brewer was hired to paint portraits of many prominent individuals including the Vice President at the time, John Nance Garner, Speaker of the House Henry T. Raney, and the Whitney family.",510  N Cedar,Hillcrest Historic District,1945,POINT (-92.317588964835 34.755569044605),-92.31758896,34.75556904,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9764/PU9764.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9764/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9764/PU9764_ai.pdf
First Baptist Church,,"The First Baptist Church, located on the Southwest corner of 12th and Louisiana streets, is a Collegiate Gothic style building. Listed in the National Register of Historic Places in 8/9/1994, it was designed by architect A. N. McAninch and constructed in 1941.  This one-story building is intricately detailed with a stone façade and exquisite stained glass windows.  Two tall towers are located on either side of the large window to give a symmetrical look.",1200  Louisiana,,1941,POINT (-92.274024147401 34.737298545184),-92.27402415,34.73729855,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9972/PU9972.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9972/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9972/PU9972_ai.pdf
"Woodruff, William E House",,"The William E. Woodruff house stands as a building that is significant both for its association with William E. Woodruff and for the historic archeological information the site might reveal.  Woodruff, in addition to founding the first newspaper published west of the Mississippi River, was extremely active and influential in the field of local and state politics. The structure was listed on the National Register of Historic Places on 3/21/1989.  It was built in 1852 by local builder John Robins.",1017  E 8th,,1853,POINT (-92.259237140496 34.740059160851),-92.25923714,34.74005916,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2022/PU2022.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2022/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2022/PU2022_ai.pdf
Mcdonald-Wait-Newton House,Packet House,"The McDonald-Wait-Newton House, located at 1406 Cantrell Road is significant in its example of Second Empire Style. It was built in 1869 by, Alexander McDonald. The Packet House, as it is known now, is the oldest of five brick homes built shortly after the Civil War on the north side of Lincoln Avenue and is the only remaining structure of the original ""Carpetbagger's Row"" mansions. The structure was listed on the National Register of Historic Places on 7/14/1978.",1406  Cantrell,,1869,POINT (-92.285424242187 34.753426554113),-92.28542424,34.75342655,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3243/PU3243.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3243/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3243/PU3243_ai.pdf
Trinity Episcopal Cathedral,,"The Trinity Episcopal Cathedral was built and organized to be the principal church of the Arkansas’s Episcopal diocese. Beginning in 1882, the Bishop the Right Reverend Henry Niles Pierce single handedly raised the money to build the church and started construction two years later. Due to a lack of funds, it would not be until 1892 when the building would be completed. The structure was listed on the National Register of Historic Places on 5/13/1976.",310  W 17th,Governor's Mansion Historic District,1884,POINT (-92.276573317307 34.733119493511),-92.27657332,34.73311949,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1264/PU1264.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1264/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1264/PU1264_ai.pdf
Gazette Building,,"The Gazette Building is located at 112 W. 3rd St. The building was built by Peter Hotze. He made sure all most of the materials were durable but also fireproof. This was becoming a common standard during that time. He owned the building until 1936. George Mann was the designer of the building. The exterior had the influence of Louis Henry Sullivan, a Beaux Arts design. The building has been recognized as one of the finest newspaper building in the south. The Gazette building is a profound representation of the Gazette newspaper. The Gazette newspaper is the oldest newspaper west of the Mississippi River. The building has been well kept throughout the decades.",118  E 3rd,,1908,POINT (-92.271511644601 34.746526334055),-92.27151164,34.74652633,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0187/PU0187.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0187/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0187/PU0187_ai.pdf
Thornton House,,"The Thornton House, located at 1420 West 15th Street, is an American Foursquare house. Listed in the National Register of Historic Places in 5/28/1999, it was constructed in 1896 for Charles E. Taylor.  This home, originally being a one-story weatherboard house, was bought by Dr. John G. Thornton and Bessie Stephens Thornton.  Bessie was the first public school black teacher and Dr. Thornton was a prominent black doctor in Little Rock.  Dr. Thornton went on to be a cofounder of the Arkansas Medical, Dental, and Pharmaceutical Association.",1420  W 15Th,,1896,POINT (-92.289028082087 34.736703153077),-92.28902808,34.73670315,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9824/PU9824.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9824/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9824/PU9824_ai.pdf
Retan House,,"The Retan House, located at 2510 Broadway Street, is a Prairie style house that was influence by the famous Frank Lloyd Wright.  Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1915.  Two-story and modest, this stucco house is topped with a hipped roof.  The walled front porch features two granite columns that hold up a gable roof covering.  Bands of Prairie style windows emphasize the horizontal emphasis of the house.",2510  S Broadway,,1915,POINT (-92.279251532441 34.724044979244),-92.27925153,34.72404498,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3174/PU3174.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3174/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3174/PU3174_ai.pdf
England House,,"The Shelby England House, at 2121 Arch Street, is a Prairie and Colonial Revival style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1917. This two-story gray-brown brick house features a hipped roof with two dormer windows and a lower roof that supports four brick columns surrounding a wide front porch. The Classic Revival style is evident on the side of the house with a columned second-story enclosed porch.",2121  S Arch,Governor's Mansion Historic District,1911,POINT (-92.279624628159 34.727911454025),-92.27962463,34.72791145,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1494/PU1494.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1494/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1494/PU1494_ai.pdf
Farrell House,,"The Farrell House, one of the four rental houses built by Farrell located on this street, at 2121 Louisiana Street, is a Craftsman style house.  Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1914 for A. E. Farrell.  This two-story brown brick house features a red terra-cotta gable roof and exposed timber decorating the façade of the house.",2121  S Louisiana,Governor's Mansion Historic District,1914,POINT (-92.274732513765 34.727945361213),-92.27473251,34.72794536,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1073/PU1073.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1073/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1073/PU1073_ai.pdf
Halliburton House #2,,"Thought to serve as rental property, the Halliburton Houses are two identical houses built around 1905 and/or 1906. They are located on the corner of 16th and Center Street, Little Rock’s fashion center in those times. Tom Halliburton is believed to have built the houses. Sharing a corner lot and the same architectural style makes these historical structures significant.  The structure was listed on the National Register of Historic Places on 12/12/1976.",1605  S Center,Governor's Mansion Historic District,1905,POINT (-92.275419674072 34.733463232215),-92.27541967,34.73346323,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1150/PU1150.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1150/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1150/PU1150_ai.pdf
Dunaway House,"Dunaway, M E House","The Dunaway House, at 2022 Battery Street, is a Craftsman style house.  Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1915. This two-story home was designed with a brick and stucco façade and a gabled terra-cotta roof.  The front porch draws the most attention with its unique arched brick entryway.",2022  S Battery,Central High School Neighborhood Historic District,1915,POINT (-92.294665230738 34.729500601351),-92.29466523,34.7295006,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5005/PU5005.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5005/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5005/PU5005_ai.pdf
Mosaic Templars Grand Temple,Broadway Animal Hospital,"The Mosaic Templars of America was founded in 1882 and incorporated in 1883 by former slaves John Edward Bush and Chester W. Keatts as an African-American fraternal organization that offered mutual aid to the black community. At its peak, the Mosaic Ternplars had over 100,000 members in chapters in twenty-six states, the Caribbean and South and Central America. The Mosaic Templars State Temple is the last remaining historic building associated with the Mosaic Templars of America Headquarters, and its prominent location at 9th and Broadway, which was the heart of Little Rock's (and the Slate's) African-American business district, helps to illustrate the organization's importance in the state's black community.",906  S Broadway,,1921,POINT (-92.27711271213 34.74051810247),-92.27711271,34.7405181,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4434/PU4434.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4434/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4434/PU4434_ai.pdf
Mount Holly Cemetery,,"Established about seven years after Arkansas became a state, Mount Holly Cemetery was donated by Chester Ashley and Roswell Beebe. It was to be used for burial purposes only. The cemetery has been called the ""Westminster Abbey of Arkansas.'' There are 10 former Arkansas Governors, 3 United States Senators, 12 Arkansas Supreme Court Justices, 20 Mayors of the City of Little Rock, and 5 Confederate generals buried there. The structure was listed on the National Register of Historic Places on 3/5/1970.",1200  S Broadway,,1843,POINT (-92.278077358479 34.73807058979),-92.27807736,34.73807059,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1343/PU1343.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1343/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1343/PU1343_ai.pdf
"Matthews, Mary H., House",,"The Mary H. Matthews Lustron House at 5021 Maryland Avenue is an example of the Westchester Model 02 design offered by the Lustron Corporation in the late 1940s.  It was listed on the National Register of Historic Places on 5/23/2014.  The house features a steel frame and walls are covered in gray, square, porcelain-enameled steel panels.  The house retains the majority of its original materials.",5021  Maryland,,1949,POINT (-92.330466001836 34.743608954479),-92.330466,34.74360895,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5894/PU5894.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5894/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5894/PU5894_ai.pdf
Taborian Hall,Arkansas Flag & Banner,"The Taborian Hall is one of the few remaining buildings that recall the era when West Ninth Street, between Izard and Broadway Streets, was the hub of the black business activity.  Prominent among the business establishments in this four block area were fraternal organizations. The third floor was known as the Dreamland Ballroom.  Ella Fitzgerald, Dizzy Gillespie, Louis Armstrong, BB King, Ray Charles, Etta James, among many others preformed here during the Jim Crow era.   The structure was listed on the National Register of Historic Places on 4/29/1982.",800  W 9th,,1916,POINT (-92.280413681512 34.741602813626),-92.28041368,34.74160281,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3162/PU3162.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3162/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3162/PU3162_ai.pdf
